Book ID,Title,Author
6,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid
9,The House in the Cerulean Sea,TJ Klune
12,Where the Crawdads Sing,Delia Owens
17,Circe,Miller Madeline
21,Normal People,Sally Rooney
27,Harry Potter & The Deathly Hallows,J.K.Rowling
32,Station Eleven,Emily St. John Mandel
38,Pride & Prejudice,"maxi sanchez (Translator), Jane Austen"
42,Court Of Mist & Fury,Sarah J. Maas
46,Song of Achilles,Madeline Miller
54,Ender's Game,Orson Scott Card
56,Hate U Give,Angie Thomas
57,The Great Believers,Rebecca Makkai
61,Homegoing,Yaa Gyasi
81,Sea of Tranquility,Mandel Emily St. Jo
83,And Then There Were None,Agatha Christie
123,Writers & Lovers,Lily King
134,Nightingale,Kristin Hannah
150,Project Hail Mary,Andy Weir
153,Fifth Season,N. K. Jemisin
160,Babel,R.F. Kuang
169,The Candy House,Jennifer Egan
214,Tale For The Time Being,Ruth Ozeki
220,The Idiot,Elif Batuman
225,Tom Lake,Ann Patchett
233,The Hunger Games,SuzanneCollins
250,Beartown,Fredrik Backman
281,Once There Were Wolves,Charlotte McConaghy
337,Finlay Donovan Is Killing It,Elle Cosimano
354,The Remains Of The Day,Kazuo Ishiguro
355,Leave the World Behind,Rumaan Alam
413,The Round House,Louise Erdrich
416,Tell the Wolves I'm Home,Carol Rifka Brunt
417,Demon Copperhead,Barbara Kingsolver
422,The One,Kiera Cass
445,The Ballad of Never After,Stephanie Garber
451,Madame Bovary,Gustave Flaubert
488,Maame,Jessica George
498,Us Against You,Fredrik Backman
513,Extremely Loud & Incredibly Close,Jonathan Safran Foer
633,Shuggie Bain,Douglas Stuart
636,Disappearing Earth,Julia Phillips
645,A Flicker in the Dark,Stacy Willingham
660,Yours Truly,Abby Jimenez
701,The True Love Experiment,Christina Lauren
704,The Heaven & Earth Grocery Store,James McBride
716,Howl's Moving Castle,Diana Wynne Jones
747,A Constellation of Vital Phenomena,Anthony Marra
777,The Dispossessed,Ursula K. Le Guin
792,Never Lie,Freida McFadden
892,Made for Love,Alissa Nutting
893,A Place for Us,Fatima Farheen Mirza
936,How the Light Gets In,Louise Penny
955,Wonder Movie Tie-In Edition,R. J. Palacio
964,Code Name Hélène,Ariel Lawhon
980,The Stone Sky,N. K. Jemisin
992,I'll Give You the Sun,Jandy Nelson
1066,Home Fire,Kamila Shamsie
1076,Stoner,John Williams
1091,The Return of the King,J.R.R. Tolkien
1130,Code Name Verity,Elizabeth Wein
1141,The Story of a New Name,Elena Ferrante
1162,We Ride Upon Sticks,Quan Barry
1168,North Woods,Daniel Mason
1206,The Poet X,Elizabeth Acevedo
1218,Deacon King Kong,James McBride
1222,The Girl Who Drank the Moon,Kelly Barnhill
1250,The Box in the Woods,Maureen Johnson
1271,The Simple Wild,K.A. Tucker
1282,The Five Wounds,Kirstin Valdez Quade
1326,Bright Young Women,Jessica Knoll
1353,Lightning Thief,Rick Riordan
1363,We Are the Brennans,Tracey Lange
1365,Salt to the Sea,Ruta Sepetys
1368,Great Expectations,Charles Dickens
1406,Pizza Girl,Jean Kyoung Frazier
1467,Nettle & Bone,T Kingfisher
1509,Elatsoe,Darcie Little Badger
1534,The Dinner,Herman Koch
1547,Carrie Soto is Back,Taylor Jenkins Reid
1608,Beasts of a Little Land,Juhea Kim
1632,Brideshead Revisited,Evelyn Waugh
1731,Bring Up The Bodies,Hilary Mantel
1883,News of the World,Paulette Jiles
1905,Vita Nostra,Marina & Sergey Dyachenko
1934,The Devil Takes You Home,Gabino Iglesias
1969,10:04,Ben Lerner
2025,Harriet the Spy,Louise Fitzhugh
2053,The New York Trilogy,Paul Auster
2061,By the Shores of Silver Lake,Laura Ingalls Wilder
2125,All My Puny Sorrows,Miriam Toews
2155,The War that Saved My Life,Kimberly Brubaker Bradley
2194,The Sweetness of Water,Nathan Harris
2204,Acceptance,Jeff VanderMeer
2205,Everything's Fine,Cecilia Rabess
2219,The Frozen River,Ariel Lawhon
2291,The Eyre Affair,Jasper Fforde
2401,Concrete Rose,Angie Thomas
2418,House of Hunger,Alexis Henderson
2427,The Lost Man,Jane Harper
2457,The Orphan Master's Son,Adam Johnson
2478,Daisy Haites,Jessa Hastings
2492,We Are Not Like Them,Christine Pride
2496,True Grit,Charles Portis
2512,"Rebecca  [Paperback] [Jul 16, 2015] Daphne Du Maurier",Daphne du Maurier
2585,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll
2631,A Portrait of the Artist as a Young Man,James Joyce
2654,Seven Days in June,Tia Williams
2735,The Winter of the Witch,Katherine Arden
2754,The Things We Cannot Say,Kelly Rimmer
2885,The Godfather,Mario Puzo
2991,Unwind,Neal Shusterman
3028,Highly Suspicious and Unfairly Cute,Talia Hibbert
3048,In the Distance,Hernan Diaz
3069,Meet Me in the Margins,Melissa Ferguson
3112,Any Man,Amber Tamblyn
3135,Advika and the Hollywood Wives,Kirthana Ramisetti
3164,Yellow Wife,Sadeqa Johnson
3255,Darius the Great Is Not Okay,Adib Khorram
3285,Four Treasures of the Sky,Jenny Tinghui Zhang
3290,Slewfoot,Brom
3294,Last Summer on State Street,Toya Wolfe
3345,A Northern Light,Jennifer Donnelly
3352,Uncle Tom's Cabin,Harriet Beecher Stowe
3378,Alif the Unseen,G. Willow Wilson
3438,Baby Teeth,Zoje Stage
3449,The Running Grave,Robert Galbraith
3566,Crossing to Safety,Wallace Stegner
3594,How to be both,Ali Smith
3659,The Women Could Fly,Megan Giddings
3708,The Wild Robot,Peter Brown
3739,The Shepherd's Crown,Terry Pratchett
3788,A Great Reckoning,Louise Penny
3841,Under the Never Sky,Veronica Rossi
4061,The Winemaker's Wife,Kristin Harmel
4131,The Future Of Another Timeline,Annalee Newitz
4154,King and the Dragonflies,Kacen Callender
4171,Glass Houses,Louise Penny
4286,A Pho Love Story,Loan Le
4349,The Sparrow,Mary Doria Russell
4409,A Murder is Announced,Agatha Christie
4434,The Princess Bride,William Goldman
4489,We Are Legion,Dennis Taylor
4577,Tithe,Holly Black
4630,Marrying the Ketchups,Jennifer Close
4644,The Weight of Blood,Tiffany D. Jackson
4756,Kings Rising,C. S. Pacat
4895,"The Galaxy, and the Ground Within",Becky Chambers
4909,Fish in a Tree,Lynda Mullaly Hunt
4915,Mixed Signals,B.K. Borison
4935,Okay for Now,Gary D. Schmidt
4964,Yellow Crocus,Laila Ibrahim
4987,The Do-Over,Lynn Painter
5007,Girl with a Pearl Earring,Tracy Chevalier
5176,Will They or Won't They,Ava Wilder
5202,The Code of the Woosters,P. G. Wodehouse
5236,Godkiller,Hannah Kaner
5370,Hang the Moon,Alexandria Bellefleur
5409,Out of the Easy,Ruta Sepetys
5472,On the Banks of Plum Creek,Laura Ingalls Wilder
5503,Thirst for Salt,Madelaine Lucas
5560,Dealing with Dragons,Patricia C. Wrede
5566,A Graveyard for Lunatics,Ray Bradbury
5581,The Blue Bistro,Elin Hilderbrand
5629,The Accident Season,Moïra Fowley-Doyle
5649,The Accidental,Ali Smith
5886,The Foundling,Ann Leary
5904,The Sea of Tranquility,Katja Millay
5939,The Long Winter,Laura Ingalls Wilder
5973,The Bands of Mourning,Brandon Sanderson
6206,The Uncoupling,Meg Wolitzer
6218,In the Wild Light,Jeff Zentner
6315,Only the Good Spy Young,Ally Carter
6362,Murder in G Major,Alexia Gordon
6382,Cards on the Table,Agatha Christie
6449,The War I Finally Won,Kimberly Brubaker Bradley
6458,Unbelievable,Sara Shepard
6525,Panic,Lauren Oliver
6568,The First Ladies,Marie Benedict
6581,More Than Words,Jill Santopolo
6640,The Great Offshore Grounds,Vanessa Veselka
6642,Jude the Obscure,Thomas Hardy
6783,Hooked,Emily McIntire
6834,"Love, Lists, and Fancy Ships",Sarah Grunder Ruiz
6928,Himself,Jess Kidd
6930,Five Little Indians,Michelle Good
6943,Bright Burning Things,Lisa Harding
7001,Ceremony,Leslie Marmon Silko
7063,Ain't Burned All the Bright,Jason Reynolds
7153,The Serpent's Shadow,Rick Riordan
7159,The Dollhouse,Fiona Davis
7227,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu
7299,Doing Harm,Maya Dusenbery
7581,Playing Nice,JP Delaney
7721,Watch Us Rise,Renee Watson
7729,Some Kind of Happiness,Claire Legrand
7749,Witchlings,Claribel A. Ortega
7874,Trouble the Saints,Alaya Dawn Johnson
7876,Red Harvest,Dashiell Hammett
7925,Mother in the Dark,Kayla Maiuri
7968,The Crossing,Michael Connelly
8042,Fugitive Pieces,Anne Michaels
8051,The Last True Poets of the Sea,Julia Drake
8230,The Winter of Our Discontent,John Steinbeck
8316,The Yellow Birds,Kevin Powers
8350,The Donut Trap,Julie Tieu
8396,The Portable Veblen,Elizabeth McKenzie
8440,The Lost Books of The Odyssey,Zachary Mason
8491,The Gunners,Rebecca Kauffman
8562,Darktown,Thomas Mullen
8587,Prayers for the Stolen,Jennifer Clement
8600,The Ruins,Scott Smith
8657,The Last Picture Show,Larry McMurtry
8671,Staked,Kevin Hearne
8755,"Breath, Eyes, Memory",Edwidge Danticat
8900,The Ritual,Adam Nevill
9010,Symphony of Secrets,Brendan Slocumb
9187,A Broken Blade,Melissa Blair
9255,Alias Emma,Ava Glass
9369,Lucky Red,Claudia Cravens
9373,Broken Vow,Sophie Lark
9438,The Orenda,Joseph Boyden
9495,Everneath,Brodi Ashton
9581,The Sinner,Tess Gerritsen
9818,The Circus Train,Amita Parikh
9822,How Could She,Lauren Mechling
10407,Good Omens,Terry Pratchett
10458,Missing Clarissa,Ripley Jones
10642,Dark Triumph,Robin LaFevers
10859,Twisted,Emily McIntire
10860,Foreign Affairs,Alison Lurie
11163,So Happy for You,Celia Laskey
11199,Pope Joan,Donna Woolfolk Cross
11239,Wicked and the Wallflower,Sarah MacLean
11379,Losing It,Cora Carmack
11416,"Nobody, Somebody, Anybody",Kelly McClorey
12080,How Sweet It Is,Dylan Newton
12136,The Other People,C. J. Tudor
12164,A Countess Below Stairs,Eva Ibbotson
12235,Shadow of the Giant,Orson Scott Card
12680,"Fairest of All-Villains, Book 1",Disney Books
12757,Sweet Sorrow,David Nicholls
12878,Obsidian Butterfly,Laurell K. Hamilton
12962,Past Tense,Lee Child
13088,Glass Houses,Rachel Caine
13534,Limelight,Amy Poeppel
13595,The Best Laid Plans,Cameron Lund
13841,The Guns of Avalon,Roger Zelazny
